0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
County,MOECC Site Number,Lat,Long,Site Type,Sample date,Year,bimaculatus Queens,bimaculatus workers,bimaculatus males,bimaculatus total,griseocollis Queen,griseocollis worker,griseocollis male,griseocollis total,impatiens Queens,impatiens workers,impatiens males,impatiens total, fervidus Queens,fervidus workers,fervidus males,fervidus total,borealis Queens,borealis workers,borealis males,borealis total,rufocinctus Queens,rufocinctus workers,rufocinctus males,rufocinctus total,pensylvanicus Queens,pensylvanicus workers,pensylvanicus males,pensylvanicus total,vagans Queens,vagans workers,vagans males,vagans total,ternarius Queens,ternarius workers,ternarius males,ternarius total,perplexus Queens,perplexus workers,perplexus males,perplexus total,citrinus Queens,citrinus males,citrinus total,auricomus Queens,auricomus workers,auricomus males,auricomus total,terricola Queens,terricola workers,terricola males,terricola total,flavidus Queens,flavidus males,flavidus total,Flowers in bloom,Flowers Bees Collected on,,
Lincoln,33, 43.096044,-79.397262,Agriculture,07/16/2015,2015,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Lincoln,34, 43.095355,-79.409211,Agriculture,09/23/2015,2015,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Lambton Shores,35,43.247816,-81.821837,Semi-natural remnant,07/20/2015,2015,1,3,0,4,0,11,0,11,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Lambton Shores,35,43.247816,-81.821837,Semi-natural remnant,06/16/2015,2015,0,0,0,0,0,8,0,8,1,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,
Lambton Shores,35,43.24323,-81.87457,Semi-natural remnant,08/21/2015,2015,0,0,0,0,1,0,6,7,0,15,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,,,,
Central Elgin,36,42.67456,-81.16695,Agriculture,07/27/2015,2015,0,1,0,1,0,9,0,9,0,28,0,28,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"milkweed, dandelion, chicory, birdsfoot trefoil, spotted knapweed, crown vetch, Queen Anne's lace, red clover, sumac ","knapweed, clover ",,
Chatham-Kent,37,42.40626,-81.85917,Agriculture,06/26/2015,2015,0,1,0,1,1,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"birdsfoot trefoil, daisy, red clover","birdsfoot trefoil, red clover",,
Chatham-Kent,37,42.40626,-81.85917,Agriculture,08/05/2015,2015,0,0,1,1,0,1,1,2,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,16,0,0,0,0,0,0,0,0,1,12,13,0,0,0,0,0,0,0,0,0,0,0,"goldenrod, teasel, hoary vervain, Queen Anne's lace, daisy fleabane, thistle",,,
Kincardine,38,44.17793,-81.52945,Agriculture,06/04/2015,2015,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,2,0,0,2,4,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"daisy fleabane, common fleabane, red clover, birdsfoot trefoil ","common fleabane, birdsfoot trefoil",,
Chatham-Kent,39,42.31164,-81.848815,Semi-natural remnant,06/26/2015,2015,0,0,0,0,1,13,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,,,,
